match_id,date_match,status,season_id,season_winner,home_team_id,home_team,away_team_id,away_team,winner,home_goals,away_goals
445608,2024-02-24T20:30:00Z,FINISHED,1603,,5543,Vitória SC,6618,Casa Pia AC,Casa Pia AC,0,2
445605,2024-02-25T15:30:00Z,FINISHED,1603,,5589,FC Vizela,582,GD Estoril Praia,Draw,3,3
445600,2024-02-25T18:00:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,5601,Portimonense SC,Sport Lisboa e Benfica,4,0
445606,2024-02-25T18:00:00Z,FINISHED,1603,,5533,Gil Vicente FC,503,FC Porto,Draw,1,1
445604,2024-02-25T20:30:00Z,FINISHED,1603,,496,Rio Ave FC,498,Sporting Clube de Portugal,Draw,3,3
445601,2024-02-26T20:15:00Z,FINISHED,1603,,810,Boavista FC,5613,Sporting Clube de Braga,Sporting Clube de Braga,0,4
445613,2024-03-01T20:15:00Z,FINISHED,1603,,1103,GD Chaves,712,FC Arouca,FC Arouca,1,5
445611,2024-03-02T15:30:00Z,FINISHED,1603,,583,Moreirense FC,496,Rio Ave FC,Draw,0,0
445614,2024-03-02T18:00:00Z,FINISHED,1603,,582,GD Estoril Praia,5543,Vitória SC,Vitória SC,1,3
445616,2024-03-02T20:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,9136,CF Estrela da Amadora,Sporting Clube de Braga,3,0
445609,2024-03-03T15:30:00Z,FINISHED,1603,,6618,Casa Pia AC,5533,Gil Vicente FC,Draw,0,0
445615,2024-03-03T15:30:00Z,FINISHED,1603,,5601,Portimonense SC,5589,FC Vizela,Draw,0,0
445617,2024-03-03T18:00:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,5602,SC Farense,Sporting Clube de Portugal,3,2
445612,2024-03-03T20:30:00Z,FINISHED,1603,,503,FC Porto,1903,Sport Lisboa e Benfica,FC Porto,5,0
445610,2024-03-04T20:15:00Z,FINISHED,1603,,5531,FC Famalicão,810,Boavista FC,Draw,1,1
445625,2024-03-08T18:45:00Z,FINISHED,1603,,5601,Portimonense SC,503,FC Porto,FC Porto,0,3
